Glyph Code: 8395aa6a2c65887f9d45e0e3d60b603f, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (315.83896000000004, 722.74), Page: 0
Glyph Code: ea8283215d5dda03aa1cf5eebe87a149, Text: a, Unicode: 97, Font Size: 11.039999999999964, Position: (318.36, 722.74), Page: 0
Glyph Code: 3356adad27e3c3078f8151f5ca9cfef0, Text: p, Unicode: 112, Font Size: 11.039999999999964, Position: (323.64816, 722.74), Page: 0
Glyph Code: d6279612b6b717b36cb37872998110bd, Text: p, Unicode: 112, Font Size: 11.039999999999964, Position: (329.40000000000003, 722.74), Page: 0
Glyph Code: 344d72f6e40167d8864362f4c94c0242, Text: e, Unicode: 101, Font Size: 11.039999999999964, Position: (335.16288000000003, 722.74), Page: 0
Glyph Code: 9d369372595bd1b3ba97de8028490403, Text: a, Unicode: 97, Font Size: 11.039999999999964, Position: (340.6608, 722.74), Page: 0
Glyph Code: d3479047a8e4f4a5230892d0e462d277, Text: r, Unicode: 114, Font Size: 11.039999999999964, Position: (345.94896, 722.74), Page: 0
Glyph Code: e68e7bdec04e2c0cf02ae3f717f07f76, Text: s, Unicode: 115, Font Size: 11.039999999999964, Position: (349.80192, 722.74), Page: 0
Glyph Code: 351fab5309fa9cb4b28ea0a9b24d39c7, Text: ., Unicode: 46, Font Size: 11.039999999999964, Position: (354.11856, 722.74), Page: 0
Glyph Code: a5bd65f3673afaea56054d4dff6dfb3f, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (357.02, 722.74), Page: 0
Glyph Code: b2b874756660bfcbc387b97c677c4b0e, Text: T, Unicode: 84, Font Size: 11.039999999999964, Position: (359.42, 722.74), Page: 0
Glyph Code: 6ac0afc2817a7b3639561f0d280f7e02, Text: h, Unicode: 104, Font Size: 11.039999999999964, Position: (364.69712000000004, 722.74), Page: 0
Glyph Code: ecd9c8f01950f49b0582185726886cb2, Text: e, Unicode: 101, Font Size: 11.039999999999964, Position: (370.46000000000004, 722.74), Page: 0
Glyph Code: bcc2e6d27d0904e9581c41483d40c346, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (375.95792, 722.74), Page: 0
Glyph Code: 3076d0276222d978c84c2e57aaa729a6, Text: P, Unicode: 80, Font Size: 11.039999999999964, Position: (378.37568, 722.74), Page: 0
Glyph Code: 93e818666b679b8a6d1a695344c08056, Text: C, Unicode: 67, Font Size: 11.039999999999964, Position: (384.12752, 722.74), Page: 0
Glyph Code: 44cdcf8e49918e6f528861dcb73c4a54, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (390.1112, 722.74), Page: 0
Glyph Code: 2f64a4f869a8a1e896f2e6ca49f8badf, Text: i, Unicode: 105, Font Size: 11.039999999999964, Position: (392.50688, 722.74), Page: 0
Glyph Code: 66e620003c4f61f3e1901f43ac0833a9, Text: s, Unicode: 115, Font Size: 11.039999999999964, Position: (395.1344, 722.74), Page: 0
Glyph Code: b1e9e9d101d712c822162ca1002589b8, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (399.45104000000003, 722.74), Page: 0
Glyph Code: 1e955632c2fe5a46230cbc49ee325f0e, Text: n, Unicode: 110, Font Size: 11.039999999999964, Position: (401.85776000000004, 722.74), Page: 0
Glyph Code: 88d69da19172ae68ca5972823ef9de44, Text: o, Unicode: 111, Font Size: 11.039999999999964, Position: (407.62064000000004, 722.74), Page: 0
Glyph Code: 56b8cb1792dfe85a20d8a204e45b5106, Text: w, Unicode: 119, Font Size: 11.039999999999964, Position: (413.38352000000003, 722.74), Page: 0
Glyph Code: 2a73844e66302e1f15d38a8387663ad5, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (421.27712, 722.74), Page: 0
Glyph Code: c272ff3b34ac58445ba02555eed47d04, Text: r, Unicode: 114, Font Size: 11.039999999999964, Position: (423.70592000000005, 722.74), Page: 0
Glyph Code: f5481e5cf5dea2e87e92e77de7ca701d, Text: e, Unicode: 101, Font Size: 11.039999999999964, Position: (427.55888000000004, 722.74), Page: 0
Glyph Code: f8df1a9f7394b334016deac5414790be, Text: a, Unicode: 97, Font Size: 11.039999999999964, Position: (433.0568, 722.74), Page: 0
Glyph Code: 686b2e81ac1ab3f9c22b8d2f96f7a98e, Text: d, Unicode: 100, Font Size: 11.039999999999964, Position: (438.34496, 722.74), Page: 0
Glyph Code: af1b4c7003911504498c0bc30991847c, Text: y, Unicode: 121, Font Size: 11.039999999999964, Position: (444.10784, 722.74), Page: 0
Glyph Code: 8f9b0e7ef3f89f2d7b3b88a7a79d8720, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (449.14208, 722.74), Page: 0
Glyph Code: e20685e4e0882a275eb2a6aa96b3321a, Text: t, Unicode: 116, Font Size: 11.039999999999964, Position: (451.53776000000005, 722.74), Page: 0
Glyph Code: 3ae2c22e7727f5a3a1db68cab5688b6a, Text: o, Unicode: 111, Font Size: 11.039999999999964, Position: (455.13680000000005, 722.74), Page: 0
Glyph Code: 0491057e4e376e1c7f894b0de879f6a4, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (460.89968000000005, 722.74), Page: 0
Glyph Code: dff1bf4099cdffc6d4655329d52a8378, Text: s, Unicode: 115, Font Size: 11.039999999999964, Position: (463.29536, 722.74), Page: 0
Glyph Code: dc2f47496275c1b15bbe4679bc7160e4, Text: t, Unicode: 116, Font Size: 11.039999999999964, Position: (467.612, 722.74), Page: 0
